entity_key,name,entity_type,aliases,category,description,source_key,confidence
TC-BUILDING-001,西京,Building,京城、中京、上都,宫殿区,唐西京初曰京城，隋之新都也，開皇二年所築。,TC-REF-001,0.90
TC-BUILDING-002,龙首原,Building,龍首山,地理,隋開皇二年始移於龍首原。,TC-REF-001,0.90
TC-BUILDING-003,宫城,Building,西內、太極宮,宫殿区,宮城，東西四里，南北二里二百七十步，〈按「七十」。呂大臨《長安圖》作「四十」〉周十三里一百八十步，其崇三丈五尺。,TC-REF-001,0.90
TC-BUILDING-004,东宫,Building,,宫殿区,東為東宮，西為掖庭官。,TC-REF-001,0.90
TC-BUILDING-005,掖庭宫,Building,,宫殿区,掖庭宮，傳宮城之西，〈在千步麻之西。掖庭宮東西不及一里，《長安志》以為東西四里，誤。〉北與宮城齊，南至通明門。,TC-REF-001,0.90
TC-BUILDING-006,太极殿,Building,大興殿,殿宇,宮城，亦曰西內，共正牙曰太極殿。〈唐龍朔後，天子常居大明宮。大明官在宮城東北，故謂大內為西內。景雲元年，改曰太極宮。〉,TC-REF-001,0.90
TC-BUILDING-007,东左藏库,Building,,其他,長樂門內東左藏庫。,TC-REF-001,0.90
TC-BUILDING-008,西左藏库,Building,,其他,廣運門內有西左藏庫。〈按隋初有右藏、黃藏，開皇十三年始辟左藏院，故有左藏庫之稱。〉,TC-REF-001,0.90
TC-BUILDING-009,门下省,Building,,官署,左廷明門外為門下省，〈楊炯《庭菊賦序》：天子幸於東都，皇儲監守於武德之殿，以門下內省為左春坊。〉,TC-REF-001,0.90
TC-BUILDING-010,史馆,Building,,官署,為史館，〈在門下省北。貞觀三年，置秘書內省以修五代史，又置史館以編國史。尋廢秘書內省。〉,TC-REF-001,0.90
TC-BUILDING-011,弘文馆,Building,修文館、文學館,官署,為弘文館。〈在門下省東。弘文館始置於武德四年，以聚書名為修文館，九年改弘文館，又曰文學館。館側有殿。〉,TC-REF-001,0.90
TC-BUILDING-012,中书省,Building,,官署,右廷明門外為中書省，〈省內有內客省。《通鑒》：上自武德殿入虔化門，拴賈應福、李猷於內客省。胡注：四方館隸中害省，故客省在焉。〉,TC-REF-001,0.90
TC-BUILDING-013,舍人院,Building,,官署,為舍人院。〈舊本《長安志圖》，舍人院在中書省東南，今從之。〉,TC-REF-001,0.90
TC-BUILDING-014,万春殿,Building,,殿宇,閤門之東曰萬春殿，又東曰立政殿，〈見《通鑒》注引《閣奉太極宮圖》，輿《大典閣本圖》合。立政殿前有立政門，太宗文德皇后崩於此殿。〉,TC-REF-001,0.90
TC-BUILDING-015,立政殿,Building,,殿宇,又東曰立政殿，〈見《通鑒》注引《閣奉太極宮圖》，輿《大典閣本圖》合。立政殿前有立政門，太宗文德皇后崩於此殿。〉,TC-REF-001,0.90
TC-BUILDING-016,大吉殿,Building,,殿宇,又東曰大吉殿，〈見《長安志》。前有大吉門。莊恪太子薨於少陽院，遷居此殿。〉,TC-REF-001,0.90
TC-BUILDING-017,武德殿,Building,,殿宇,又東曰武德殿。〈殿有東西門，門西與虔化門齊。貞元四年築垣，自武德東門屬於宮城，此東門也。〉,TC-REF-001,0.90
TC-BUILDING-018,千秋殿,Building,,殿宇,合門之西曰千秋般，〈《長安志》：兩儀殿前有獻春門、宜秋門，當即萬春、千秋兩殿之門。〉,TC-REF-001,0.90
TC-BUILDING-019,百福殿,Building,雍和殿,殿宇,又西曰百福殿，〈前有百福門，睿宗崩於此殿，宣宗改為雍和殿。內有親親樓，為諸王宴會之所。〉,TC-REF-001,0.90
TC-BUILDING-020,承庆殿,Building,,殿宇,又西曰承慶殿，〈前有承慶門，即太宗所居，《舊書》作「承乾」者誤。〉,TC-REF-001,0.90
TC-BUILDING-021,两仪殿,Building,中華殿,殿宇,朱明門北為兩儀殿，常日聽政則御之。〈《六典》，兩儀，古之內朝，隋曰中華殿，改。〉,TC-REF-001,0.90
TC-BUILDING-022,甘露殿,Building,,殿宇,殿北曰甘露殿，〈明皇自蜀還，常居此殿。〉,TC-REF-001,0.90
TC-BUILDING-023,延嘉殿,Building,,殿宇,甘露殿之北曰延嘉殿，〈《大典閣本太極宮圖》，兩儀殿後即延嘉殿，無甘露殿。《長安志》：延嘉殿在甘露殿近北，殿南有金水河，往北流入苑。故補於此。〉,TC-REF-001,0.90
TC-BUILDING-024,承香殿,Building,,殿宇,延嘉之北曰承香殿，〈《長安志圖》作「承春殿」。誤。〉,TC-REF-001,0.90
TC-BUILDING-025,神龙殿,Building,,殿宇,甘露之左曰神龍殿，〈中宗、玄宗皆崩於此殿，前有神龍門。〉,TC-REF-001,0.90
TC-BUILDING-026,安仁殿,Building,,殿宇,右曰安仁殿。〈前有安仁門。〉,TC-REF-001,0.90
TC-BUILDING-027,归真观,Building,,观,安仁之北曰歸真觀，觀北曰彩絲院。,TC-REF-001,0.90
TC-BUILDING-028,彩丝院,Building,絲彩院,其他,觀北曰彩絲院。〈《大典閣本圖》作「絲彩」〉。,TC-REF-001,0.90
TC-BUILDING-029,淑景殿,Building,,殿宇,院西曰淑景殿，又西則三落、四落、五落，為東西千步廊。,TC-REF-001,0.90
TC-BUILDING-030,千步廊,Building,,其他,又西則三落、四落、五落，為東西千步廊。〈千步廊在月華門北，廊之些三落、四落、五落。自淑景殿以次而西，為衛士之居。〉,TC-REF-001,0.90
TC-BUILDING-031,山池院,Building,,其他,城之西北隅有山池院，其南有薰風殿、就日殿。〈見《大典閣本圖》。〉,TC-REF-001,0.90
TC-BUILDING-032,薰风殿,Building,,殿宇,其南有薰風殿、就日殿。〈見《大典閣本圖》。〉,TC-REF-001,0.90
TC-BUILDING-033,就日殿,Building,,殿宇,其南有薰風殿、就日殿。〈見《大典閣本圖》。〉,TC-REF-001,0.90
TC-BUILDING-034,海池,Building,四海池、東海池、北海池、南海池,池沼,其東海池三，〈西內凡海池四：一在咸池殿東，一在望雲亭西，一在凝陰閣北，一在凝雲閣北。故《雍大記》謂之四海池。《通鑒》注引《閣本太極宮圖》：太極宮中凡有三海池，東海池在玄武門內之東，近凝雲閣；北海池在玄武門內之西；又南有南海池，近咸池殿。〉,TC-REF-001,0.90
TC-BUILDING-035,凝阴阁,Building,,楼阁,凝陰閣、〈《長安志》作「凝香閣」。誤，今從《大典》《閣本圖》。〉,TC-REF-001,0.90
TC-BUILDING-036,望云亭,Building,,亭,望雲亭、〈景福台西，見《長安志》。〉,TC-REF-001,0.90
TC-BUILDING-037,鹤羽殿,Building,,殿宇,鶴羽殿、〈凝陰閣西。〉,TC-REF-001,0.90
TC-BUILDING-038,咸池殿,Building,,殿宇,咸池殿〈廷嘉殿西。〉環之。,TC-REF-001,0.90
TC-BUILDING-039,景福台,Building,,台,又東曰景福台。〈承香殿西北。〉,TC-REF-001,0.90
TC-BUILDING-040,功臣阁,Building,,楼阁,神龍之北曰功臣閣、淩煙閣。〈《通鑒》注引《閣本太極宮圖》：延嘉殿之東為功臣閣，功臣閣之東為浚煙合。〉,TC-REF-001,0.90
TC-BUILDING-041,凌烟阁,Building,,楼阁,神龍之北曰功臣閣、淩煙閣。〈貞觀十八年，畫功臣像於此閣。〉,TC-REF-001,0.90
TC-BUILDING-042,凝云阁,Building,,楼阁,其北有海池、凝雲閣、〈《通鑒》注引《閣本太極官圖》及《大典閣本圖》皆作「凝雲閣」。《長安志》作「凝陰殿」。誤〉,TC-REF-001,0.90
TC-BUILDING-043,球场亭子,Building,,亭,球場亭子〈凝雲閣北。〉環之。,TC-REF-001,0.90
TC-BUILDING-044,紫云阁,Building,,楼阁,城之東北隅有紫雲閣，其南有山水池閣，西為南北千步廊。,TC-REF-001,0.90
TC-BUILDING-045,孔子庙,Building,,寺廟,殿閣之外廟一，曰孔子廟；〈《大典閣本圖》：月華門西有孔子廟。他書不載。〉,TC-REF-001,0.90
TC-BUILDING-046,佛光寺,Building,,寺廟,寺一，曰佛光寺；〈《長安志》：寺在神龍殿西。《大典閣本圖》有佛堂，無佛光寺。〉,TC-REF-001,0.90
TC-BUILDING-047,尚食内院,Building,尚食院,其他,曰尚食內院、〈《長安志》作「尚食院」，《大典閣本圓》有下「內」字。《舊書韓握傅》言帝行武德殿前，因至尚食局。當即此院。〉,TC-REF-001,0.90
TC-BUILDING-048,公主院,Building,,其他,公主院；〈《長安志》：院在千秋殿西。〉,TC-REF-001,0.90
TC-BUILDING-049,司宝库,Building,,其他,曰司寶庫、〈淩煙閣東。〉,TC-REF-001,0.90
TC-BUILDING-050,武车,Building,,其他,曰武車、〈在武德東門東，見《大典閣奉圖》。〉,TC-REF-001,0.90
TC-BUILDING-051,甲库,Building,,其他,曰甲庫；〈在西左藏庫西，見《大典開本圖》。或作「武庫」，誤。〉,TC-REF-001,0.90
TC-BUILDING-052,内仓廪,Building,,其他,倉一，曰內倉廩。〈在虔化門內，見《大典閣本圖》。〉,TC-REF-001,0.90
TC-BUILDING-053,三清殿,Building,,殿宇,三清殿、〈近淩煙閣。〉,TC-REF-001,0.90
TC-BUILDING-054,昭庆殿,Building,,殿宇,昭慶殿、〈承香殿西。《大典閣本圖》不載，不知在景福台左右。〉,TC-REF-001,0.90
TC-BUILDING-055,观云殿,Building,,殿宇,觀雲殿、〈《長安志》作凝陰殿北，疑即凝陰合之望雲亭，或在凝雲閣之側也。〉,TC-REF-001,0.90
TC-BUILDING-056,弘文殿,Building,,殿宇,弘文殿、〈近觀雲殿。〉,TC-REF-001,0.90
